| time | clockIn | half | quarter |  eigth  |
| 77   |    0    |   1  |    1    |    0    |
| 78   |    0    |   1  |    1    |    0    |
| 79   |    1    |   0  |    1    |    0    |
| 80   |    1    |   0  |    1    |    0    |
| 81   |    1    |   0  |    1    |    0    |
| 82   |    0    |   0  |    1    |    0    |
| 83   |    0    |   0  |    1    |    0    |
| 84   |    0    |   0  |    1    |    0    |
| 85   |    1    |   1  |    0    |    0    |
| 86   |    1    |   1  |    0    |    0    |
| 87   |    1    |   1  |    0    |    0    |
| 88   |    0    |   1  |    0    |    0    |
| 89   |    0    |   1  |    0    |    0    |
| 90   |    0    |   1  |    0    |    0    |
| 91   |    1    |   0  |    0    |    0    |
| 92   |    1    |   0  |    0    |    0    |
| 93   |    1    |   0  |    0    |    0    |
| 94   |    0    |   0  |    0    |    0    |
| 95   |    0    |   0  |    0    |    0    |
| 96   |    0    |   0  |    0    |    0    |
| 97   |    1    |   1  |    1    |    1    |
| 98   |    1    |   1  |    1    |    1    |
| 99   |    1    |   1  |    1    |    1    |
| 100  |    1    |   1  |    1    |    1    |
| 101  |    0    |   1  |    1    |    1    |
| 102  |    0    |   1  |    1    |    1    |
| 103  |    0    |   1  |    1    |    1    |
| 104  |    0    |   1  |    1    |    1    |
| 105  |    1    |   0  |    1    |    1    |
| 106  |    1    |   0  |    1    |    1    |
| 107  |    1    |   0  |    1    |    1    |
| 108  |    1    |   0  |    1    |    1    |
| 109  |    0    |   0  |    1    |    1    |
| 110  |    0    |   0  |    1    |    1    |
| 111  |    0    |   0  |    1    |    1    |
| 112  |    0    |   0  |    1    |    1    |
| 113  |    1    |   1  |    0    |    1    |
| 114  |    1    |   1  |    0    |    1    |
| 115  |    1    |   1  |    0    |    1    |
| 116  |    1    |   1  |    0    |    1    |
| 117  |    0    |   1  |    0    |    1    |
| 118  |    0    |   1  |    0    |    1    |
| 119  |    0    |   1  |    0    |    1    |
| 120  |    0    |   1  |    0    |    1    |
| 121  |    1    |   0  |    0    |    1    |
| 122  |    1    |   0  |    0    |    1    |
| 123  |    1    |   0  |    0    |    1    |
| 124  |    1    |   0  |    0    |    1    |
| 125  |    0    |   0  |    0    |    1    |
| 126  |    0    |   0  |    0    |    1    |
| 127  |    0    |   0  |    0    |    1    |
| 128  |    0    |   0  |    0    |    1    |
| 129  |    1    |   1  |    1    |    0    |
| 130  |    1    |   1  |    1    |    0    |
| 131  |    1    |   1  |    1    |    0    |
| 132  |    1    |   1  |    1    |    0    |
| 133  |    0    |   1  |    1    |    0    |
| 134  |    0    |   1  |    1    |    0    |
| 135  |    0    |   1  |    1    |    0    |
| 136  |    0    |   1  |    1    |    0    |
| 137  |    1    |   0  |    1    |    0    |
| 138  |    1    |   0  |    1    |    0    |
| 139  |    1    |   0  |    1    |    0    |
| 140  |    1    |   0  |    1    |    0    |
| 141  |    0    |   0  |    1    |    0    |
| 142  |    0    |   0  |    1    |    0    |
| 143  |    0    |   0  |    1    |    0    |
| 144  |    0    |   0  |    1    |    0    |
| 145  |    1    |   1  |    0    |    0    |
| 146  |    1    |   1  |    0    |    0    |
| 147  |    1    |   1  |    0    |    0    |
| 148  |    1    |   1  |    0    |    0    |
| 149  |    0    |   1  |    0    |    0    |
| 150  |    0    |   1  |    0    |    0    |
| 151  |    0    |   1  |    0    |    0    |
| 152  |    0    |   1  |    0    |    0    |
| 153  |    1    |   0  |    0    |    0    |
| 154  |    1    |   0  |    0    |    0    |
| 155  |    1    |   0  |    0    |    0    |
| 156  |    1    |   0  |    0    |    0    |
| 157  |    0    |   0  |    0    |    0    |
| 158  |    0    |   0  |    0    |    0    |
| 159  |    0    |   0  |    0    |    0    |
| 160  |    0    |   0  |    0    |    0    |
