| time | clockIn | half | quarter |  eigth  | sixteenth |
| 140  |    1    |   0  |    0    |    0    |     1     |
| 141  |    1    |   0  |    0    |    0    |     1     |
| 142  |    0    |   0  |    0    |    0    |     1     |
| 143  |    0    |   0  |    0    |    0    |     1     |
| 144  |    0    |   0  |    0    |    0    |     1     |
| 145  |    1    |   1  |    1    |    1    |     0     |
| 146  |    1    |   1  |    1    |    1    |     0     |
| 147  |    1    |   1  |    1    |    1    |     0     |
| 148  |    0    |   1  |    1    |    1    |     0     |
| 149  |    0    |   1  |    1    |    1    |     0     |
| 150  |    0    |   1  |    1    |    1    |     0     |
| 151  |    1    |   0  |    1    |    1    |     0     |
| 152  |    1    |   0  |    1    |    1    |     0     |
| 153  |    1    |   0  |    1    |    1    |     0     |
| 154  |    0    |   0  |    1    |    1    |     0     |
| 155  |    0    |   0  |    1    |    1    |     0     |
| 156  |    0    |   0  |    1    |    1    |     0     |
| 157  |    1    |   1  |    0    |    1    |     0     |
| 158  |    1    |   1  |    0    |    1    |     0     |
| 159  |    1    |   1  |    0    |    1    |     0     |
| 160  |    0    |   1  |    0    |    1    |     0     |
| 161  |    0    |   1  |    0    |    1    |     0     |
| 162  |    0    |   1  |    0    |    1    |     0     |
| 163  |    1    |   0  |    0    |    1    |     0     |
| 164  |    1    |   0  |    0    |    1    |     0     |
| 165  |    1    |   0  |    0    |    1    |     0     |
| 166  |    0    |   0  |    0    |    1    |     0     |
| 167  |    0    |   0  |    0    |    1    |     0     |
| 168  |    0    |   0  |    0    |    1    |     0     |
| 169  |    1    |   1  |    1    |    0    |     0     |
| 170  |    1    |   1  |    1    |    0    |     0     |
| 171  |    1    |   1  |    1    |    0    |     0     |
| 172  |    0    |   1  |    1    |    0    |     0     |
| 173  |    0    |   1  |    1    |    0    |     0     |
| 174  |    0    |   1  |    1    |    0    |     0     |
| 175  |    1    |   0  |    1    |    0    |     0     |
| 176  |    1    |   0  |    1    |    0    |     0     |
| 177  |    1    |   0  |    1    |    0    |     0     |
| 178  |    0    |   0  |    1    |    0    |     0     |
| 179  |    0    |   0  |    1    |    0    |     0     |
| 180  |    0    |   0  |    1    |    0    |     0     |
| 181  |    1    |   1  |    0    |    0    |     0     |
| 182  |    1    |   1  |    0    |    0    |     0     |
| 183  |    1    |   1  |    0    |    0    |     0     |
| 184  |    0    |   1  |    0    |    0    |     0     |
| 185  |    0    |   1  |    0    |    0    |     0     |
| 186  |    0    |   1  |    0    |    0    |     0     |
| 187  |    1    |   0  |    0    |    0    |     0     |
| 188  |    1    |   0  |    0    |    0    |     0     |
| 189  |    1    |   0  |    0    |    0    |     0     |
| 190  |    0    |   0  |    0    |    0    |     0     |
| 191  |    0    |   0  |    0    |    0    |     0     |
| 192  |    0    |   0  |    0    |    0    |     0     |
| 193  |    1    |   1  |    1    |    1    |     1     |
| 194  |    1    |   1  |    1    |    1    |     1     |
| 195  |    1    |   1  |    1    |    1    |     1     |
| 196  |    1    |   1  |    1    |    1    |     1     |
| 197  |    0    |   1  |    1    |    1    |     1     |
| 198  |    0    |   1  |    1    |    1    |     1     |
| 199  |    0    |   1  |    1    |    1    |     1     |
| 200  |    0    |   1  |    1    |    1    |     1     |
| 201  |    1    |   0  |    1    |    1    |     1     |
| 202  |    1    |   0  |    1    |    1    |     1     |
| 203  |    1    |   0  |    1    |    1    |     1     |
| 204  |    1    |   0  |    1    |    1    |     1     |
| 205  |    0    |   0  |    1    |    1    |     1     |
| 206  |    0    |   0  |    1    |    1    |     1     |
| 207  |    0    |   0  |    1    |    1    |     1     |
| 208  |    0    |   0  |    1    |    1    |     1     |
| 209  |    1    |   1  |    0    |    1    |     1     |
| 210  |    1    |   1  |    0    |    1    |     1     |
| 211  |    1    |   1  |    0    |    1    |     1     |
| 212  |    1    |   1  |    0    |    1    |     1     |
| 213  |    0    |   1  |    0    |    1    |     1     |
| 214  |    0    |   1  |    0    |    1    |     1     |
| 215  |    0    |   1  |    0    |    1    |     1     |
| 216  |    0    |   1  |    0    |    1    |     1     |
| 217  |    1    |   0  |    0    |    1    |     1     |
| 218  |    1    |   0  |    0    |    1    |     1     |
| 219  |    1    |   0  |    0    |    1    |     1     |
| 220  |    1    |   0  |    0    |    1    |     1     |
| 221  |    0    |   0  |    0    |    1    |     1     |
| 222  |    0    |   0  |    0    |    1    |     1     |
| 223  |    0    |   0  |    0    |    1    |     1     |
| 224  |    0    |   0  |    0    |    1    |     1     |
| 225  |    1    |   1  |    1    |    0    |     1     |
| 226  |    1    |   1  |    1    |    0    |     1     |
| 227  |    1    |   1  |    1    |    0    |     1     |
| 228  |    1    |   1  |    1    |    0    |     1     |
| 229  |    0    |   1  |    1    |    0    |     1     |
| 230  |    0    |   1  |    1    |    0    |     1     |
| 231  |    0    |   1  |    1    |    0    |     1     |
| 232  |    0    |   1  |    1    |    0    |     1     |
| 233  |    1    |   0  |    1    |    0    |     1     |
| 234  |    1    |   0  |    1    |    0    |     1     |
| 235  |    1    |   0  |    1    |    0    |     1     |
| 236  |    1    |   0  |    1    |    0    |     1     |
| 237  |    0    |   0  |    1    |    0    |     1     |
| 238  |    0    |   0  |    1    |    0    |     1     |
| 239  |    0    |   0  |    1    |    0    |     1     |
| 240  |    0    |   0  |    1    |    0    |     1     |
| 241  |    1    |   1  |    0    |    0    |     1     |
| 242  |    1    |   1  |    0    |    0    |     1     |
| 243  |    1    |   1  |    0    |    0    |     1     |
| 244  |    1    |   1  |    0    |    0    |     1     |
| 245  |    0    |   1  |    0    |    0    |     1     |
| 246  |    0    |   1  |    0    |    0    |     1     |
| 247  |    0    |   1  |    0    |    0    |     1     |
| 248  |    0    |   1  |    0    |    0    |     1     |
| 249  |    1    |   0  |    0    |    0    |     1     |
| 250  |    1    |   0  |    0    |    0    |     1     |
| 251  |    1    |   0  |    0    |    0    |     1     |
| 252  |    1    |   0  |    0    |    0    |     1     |
| 253  |    0    |   0  |    0    |    0    |     1     |
| 254  |    0    |   0  |    0    |    0    |     1     |
| 255  |    0    |   0  |    0    |    0    |     1     |
| 256  |    0    |   0  |    0    |    0    |     1     |
| 257  |    1    |   1  |    1    |    1    |     0     |
| 258  |    1    |   1  |    1    |    1    |     0     |
| 259  |    1    |   1  |    1    |    1    |     0     |
| 260  |    1    |   1  |    1    |    1    |     0     |
| 261  |    0    |   1  |    1    |    1    |     0     |
| 262  |    0    |   1  |    1    |    1    |     0     |
| 263  |    0    |   1  |    1    |    1    |     0     |
| 264  |    0    |   1  |    1    |    1    |     0     |
| 265  |    1    |   0  |    1    |    1    |     0     |
| 266  |    1    |   0  |    1    |    1    |     0     |
| 267  |    1    |   0  |    1    |    1    |     0     |
| 268  |    1    |   0  |    1    |    1    |     0     |
| 269  |    0    |   0  |    1    |    1    |     0     |
| 270  |    0    |   0  |    1    |    1    |     0     |
| 271  |    0    |   0  |    1    |    1    |     0     |
| 272  |    0    |   0  |    1    |    1    |     0     |
| 273  |    1    |   1  |    0    |    1    |     0     |
| 274  |    1    |   1  |    0    |    1    |     0     |
| 275  |    1    |   1  |    0    |    1    |     0     |
| 276  |    1    |   1  |    0    |    1    |     0     |
| 277  |    0    |   1  |    0    |    1    |     0     |
| 278  |    0    |   1  |    0    |    1    |     0     |
| 279  |    0    |   1  |    0    |    1    |     0     |
| 280  |    0    |   1  |    0    |    1    |     0     |
| 281  |    1    |   0  |    0    |    1    |     0     |
| 282  |    1    |   0  |    0    |    1    |     0     |
| 283  |    1    |   0  |    0    |    1    |     0     |
| 284  |    1    |   0  |    0    |    1    |     0     |
| 285  |    0    |   0  |    0    |    1    |     0     |
| 286  |    0    |   0  |    0    |    1    |     0     |
| 287  |    0    |   0  |    0    |    1    |     0     |
| 288  |    0    |   0  |    0    |    1    |     0     |
| 289  |    1    |   1  |    1    |    0    |     0     |
| 290  |    1    |   1  |    1    |    0    |     0     |
| 291  |    1    |   1  |    1    |    0    |     0     |
| 292  |    1    |   1  |    1    |    0    |     0     |
| 293  |    0    |   1  |    1    |    0    |     0     |
| 294  |    0    |   1  |    1    |    0    |     0     |
| 295  |    0    |   1  |    1    |    0    |     0     |
| 296  |    0    |   1  |    1    |    0    |     0     |
| 297  |    1    |   0  |    1    |    0    |     0     |
| 298  |    1    |   0  |    1    |    0    |     0     |
| 299  |    1    |   0  |    1    |    0    |     0     |
| 300  |    1    |   0  |    1    |    0    |     0     |
| 301  |    0    |   0  |    1    |    0    |     0     |
| 302  |    0    |   0  |    1    |    0    |     0     |
| 303  |    0    |   0  |    1    |    0    |     0     |
| 304  |    0    |   0  |    1    |    0    |     0     |
| 305  |    1    |   1  |    0    |    0    |     0     |
| 306  |    1    |   1  |    0    |    0    |     0     |
| 307  |    1    |   1  |    0    |    0    |     0     |
| 308  |    1    |   1  |    0    |    0    |     0     |
| 309  |    0    |   1  |    0    |    0    |     0     |
| 310  |    0    |   1  |    0    |    0    |     0     |
| 311  |    0    |   1  |    0    |    0    |     0     |
| 312  |    0    |   1  |    0    |    0    |     0     |
| 313  |    1    |   0  |    0    |    0    |     0     |
| 314  |    1    |   0  |    0    |    0    |     0     |
| 315  |    1    |   0  |    0    |    0    |     0     |
| 316  |    1    |   0  |    0    |    0    |     0     |
| 317  |    0    |   0  |    0    |    0    |     0     |
| 318  |    0    |   0  |    0    |    0    |     0     |
| 319  |    0    |   0  |    0    |    0    |     0     |
| 320  |    0    |   0  |    0    |    0    |     0     |
